127.0.0.1 - - [31/Oct/2016:22:59:15 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Oct/2016:22:59:17 +0700] "GET /MCCL/TrangChu.jsp HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [31/Oct/2016:22:59:17 +0700] "GET /MCCL/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/Oct/2016:22:59:17 +0700] "GET /MCCL/css/bootstrap.min.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [31/Oct/2016:22:59:17 +0700] "GET /MCCL/hinh/banner.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:42 +0700] "GET /MCCL/TrangChu.jsp HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:42 +0700] "GET /MCCL/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:42 +0700] "GET /MCCL/css/bootstrap.min.css HTTP/1.1" 200 99961
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:42 +0700] "GET /MCCL/hinh/banner.jpg HTTP/1.1" 200 86423
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:43 +0700] "GET /MCCL/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20335
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:56 +0700] "GET /MCCL/TrangChu.jsp HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:56 +0700] "GET /MCCL/css/bootstrap.min.css HTTP/1.1" 200 99961
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:56 +0700] "GET /MCCL/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:57 +0700] "GET /MCCL/hinh/banner.jpg HTTP/1.1" 200 86423
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:57 +0700] "GET /MCCL/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:00:59 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:02:49 +0700] "GET /MCCL/DangKi.jsp HTTP/1.1" 200 3374
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:02:53 +0700] "GET /MCCL/Trangchu.html HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:04:13 +0700] "GET /MCCL/TrangChu.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:05:09 +0700] "GET /MCCL/DangKi.jsp HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:07:54 +0700] "GET /MCCL/DoiMK_NGNMC.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:08:06 +0700] "GET /MCCL/DangKi.html HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:08:09 +0700] "GET /MCCL/DangKi.html HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:08:54 +0700] "GET /MCCL/DangKi.html HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:09:03 +0700] "GET /MCCL/DangKi.html HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:09:18 +0700] "GET /MCCL/DangKi.jsp HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:09:28 +0700] "GET /MCCL/DangKi.jsp HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [31/Oct/2016:23:09:29 +0700] "GET /MCCL/Trangchu.jsp HTTP/1.1" 404 1028
